MARCA,MODELO,IMAGENES,Precio,LINK,CALIDAD,PRECIO CON PERDIDA,PERDIDA,Revisor,Re-revisor,Review Quality OK?,EXPLICACION
,,,21.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/civic/gasolina/1-0-vtec-turbo-executive/1062360/,REGULAR,20425,1.075,Lautaro,,,"Imagenes de calidad media en un entorno visiblemente molesto, angulos y cantidad de fotos mejorable"
,,,14.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/jazz/gasolina/1-3-i-vtec-cvt-comfort/1062073/,REGULAR,14155,745,Lautaro,,,"Imagenes de calidad media en un entorno visiblemente molesto, angulos y cantidad de fotos mejorable"
,,,26.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/1061901/,REGULAR,25555,1.345,Lautaro,,,"Entorno demasiado cargado, buenos angulos, cantidad y calidad de fotos mejorables"
,,,36.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/zr-v/gasolina/2-0-i-mmd-4x2-cvt-advance/1056368/,REGULAR,34675,1.825,Lautaro,,,"Imagenes de calidad media en un entorno visiblemente molesto, angulos mejorables"
,,,29.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance-style/1050697/,BIEN,"29152,5",748,Lautaro,,,"Cantidad de fotos justas, angulos ligeramente mejorables y hay una persona en la foto"
,,,27.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/cr-v-hibrido/gasolina/2-0-i-mmd-4x2-elegance/1043082/,BIEN,"26812,5",688,Lautaro,,,"Cantidad de fotos justas, angulos ligeramente mejorables y hay cosas dentro del auto"
,,,24.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/jazz-hybrid/gasolina/1-5-i-mmd-109cv-auto-crosstar/1042813/,REGULAR,23655,1.245,Lautaro,,,"iluminacion irregular, calidad de foto mejorable, objetos dentro del auto, buenos angulos"
,,,25.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/1036368/,BIEN,"25252,5",648,Lautaro,,,"Encuadre un poquito descentrado, angulos ligeramente mejorables, cantidad de fotos justas y buena iluminacion"
,,,32.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/1009854/,MALA,"30062,5",2.438,Lautaro,,,"Fotos con mucho ""Bloom"", Calidad muy mejorable, cantidad de fotos escasa "
,,,29.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/999889/,BIEN,"28762,5",738,Lautaro,,,"Buena ilumniacion, angulos ligeramente mejorables, cantidad y calidad de fotos buena"
